Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
776,7,-nan(ind),1,107,313
777,7,-nan(ind),1,305,313
778,778,0.171781,0,314,315
779,93,0.103659,0,41,314
780,93,0.103659,0,112,314
781,53,0.1164,0,40,315
782,53,0.1164,0,188,315
783,783,0.128268,0,316,317
784,63,0.164999,0,29,316
785,63,0.164999,0,108,316
786,5,0.184494,1,93,317
787,5,0.332601,1,197,317
788,788,0.836007,0,318,319
789,278,0.462709,0,114,318
790,278,0.462709,0,115,318
791,1,0.0321529,1,45,319
792,1,0.0359481,1,143,319
793,793,0.163947,0,320,321
794,48,0.0738104,0,23,320
795,48,0.0738104,0,104,320
796,638,0.0659443,0,258,321
797,638,0.0659443,0,287,321
798,798,0.837942,0,322,323
799,103,0.148284,0,44,322
800,103,0.420973,0,114,322
801,1,0,1,45,323
802,1,1.78885,1,141,323
803,803,0.419935,0,324,325
804,98,0.182056,0,43,324
805,98,0.182056,0,103,324
806,20,0.0912355,0,105,325
807,20,0.0912355,0,177,325
808,808,0.230893,0,326,327
809,103,0.267676,0,45,326
810,103,0.301581,0,114,326
811,1,0,1,45,327
812,1,0.0321529,1,319,327
813,813,0.19204,0,328,329
814,15,0.0595107,0,70,328
815,15,0.0595107,0,111,328
816,268,0.156593,0,111,329
817,268,0.156594,0,310,329
818,818,0.173342,0,330,331
819,88,0.138116,0,38,330
820,88,0.138116,0,117,330
821,14,0.01225,0,95,331
822,14,0.01225,0,293,331
823,823,0.252806,0,332,333
824,93,0.103659,0,40,332
825,93,0.103659,0,112,332
826,9,-nan(ind),1,91,333
827,9,-nan(ind),1,113,333
828,828,0.363597,0,334,335
829,16,0.13963,0,0,334
830,16,0.13963,0,118,334
831,758,0.377883,0,306,335
832,758,0.377883,0,307,335
833,833,0.0811705,0,336,337
834,273,0.0889003,0,112,336
835,273,0.0889002,0,113,336
836,9,-nan(ind),1,113,337
837,9,-nan(ind),1,333,337
838,838,0.780422,0,338,339
839,243,0.187915,0,100,338
840,243,0.403176,0,115,338
841,1,-nan(ind),1,101,339
842,1,-nan(ind),1,291,339
843,843,0.23137,0,340,341
844,293,0.298008,0,120,340
845,293,0.261845,0,121,340
846,7,0.772428,1,19,341
847,7,0,1,49,341
848,848,0.1837,0,342,343
849,88,0.138116,0,110,342
850,88,0.138116,0,117,342
851,268,0.156593,0,110,343
852,268,0.156594,0,310,343
853,853,0.109707,0,344,345
854,243,0.295545,0,101,344
855,243,0.295545,0,115,344
856,788,0.599406,0,318,345
857,788,0.236601,0,319,345
858,858,0.24819,0,346,347
859,113,0.334125,0,49,346
860,113,0.334125,0,120,346
861,7,0,1,49,347
862,7,0.103108,1,119,347
863,863,0.61858,0,348,349
864,28,0.0979999,0,4,348
865,28,0.0980001,0,122,348
866,27,0.0897664,0,64,349
867,27,0.0897665,0,172,349
868,868,0.00491866,0,350,351
869,43,0.326502,0,46,350
870,43,0.156338,0,124,350
871,108,0.277374,0,46,351
872,108,0.13156,0,125,351
873,873,1.01431,0,352,353
874,16,0.13963,0,48,352
875,16,0.13963,0,118,352
876,7,0.103108,1,119,353
877,7,0,1,347,353
878,878,0.113234,0,354,355
879,108,0.129417,0,47,354
880,108,0.129417,0,125,354
881,10,0,1,153,355
882,10,1.38564,1,163,355
883,883,0.839821,0,356,357
884,26,0.252664,0,12,356
885,26,0.252664,0,116,356
886,308,0.291419,0,126,357
887,308,0.29142,0,127,357
888,888,0.320906,0,358,359
889,58,0.335392,0,44,358
890,58,0.394519,0,126,358
891,798,0.418971,0,322,359
892,798,0.418971,0,323,359
893,893,0.657255,0,360,361
894,313,0.265447,0,128,360
895,313,0.783451,0,129,360
896,7,0.111478,1,71,361
897,7,0.143918,1,295,361
898,898,0.113235,0,362,363
899,43,0.152807,0,21,362
900,43,0.152807,0,124,362
901,10,-nan(ind),1,21,363
902,10,-nan(ind),1,87,363
903,903,0.468436,0,364,365
904,318,0.214828,0,130,364
905,318,0.214828,0,131,364
906,29,0.049427,0,214,365
907,29,0.049427,0,239,365
908,908,0.525041,0,366,367
909,58,0.095493,0,27,366
910,58,0.104893,0,126,366
911,26,0.126332,0,94,367
912,26,0.126332,0,254,367
913,913,0.367952,0,368,369
914,22,0.0811928,0,1,368
915,22,0.0811928,0,128,368
916,14,0.0774961,0,23,369
917,14,0.0774962,0,186,369
918,918,0.869612,0,370,371
919,22,0.139728,0,26,370
920,22,0.114321,0,128,370
921,7,0.1215,1,123,371
922,7,0,1,129,371
923,923,0.399147,0,372,373
924,323,0.515123,0,132,372
925,323,0.515123,0,133,372
926,453,0.268262,0,184,373
927,453,0.268262,0,185,373
928,928,0.211716,0,374,375
929,28,0.098,0,50,374
930,28,0.0980001,0,122,374
931,298,0.285491,0,122,375
932,298,0.285491,0,245,375
933,933,1.11933,0,376,377
934,29,0.098854,0,7,376
935,29,0.098854,0,130,376
936,2,1.04264,1,13,377
937,2,0,1,227,377
938,938,0.754079,0,378,379
939,113,0.334125,0,48,378
940,113,0.334125,0,120,378
941,7,0,1,121,379
942,7,0.189795,1,157,379
943,943,0.691293,0,380,381
944,33,0.129035,0,36,380
945,33,0.129035,0,132,380
946,33,0.0937874,0,52,381
947,33,0.0937873,0,174,381
948,948,0.436265,0,382,383
949,33,0.0484585,0,17,382
950,33,0.0484586,0,132,382
951,83,0.131879,0,36,383
952,83,0.131879,0,206,383
953,953,0.60219,0,384,385
954,328,0.51217,0,134,384
955,328,0.51217,0,135,384
956,7,0.142288,1,10,385
957,7,0.229584,1,77,385
958,958,0.161838,0,386,387
959,33,0.0837057,0,52,386
960,33,0.0837057,0,133,386
961,123,0.149185,0,52,387
962,123,0.277769,0,170,387
963,963,1.18214,0,388,389
964,29,0.0988539,0,43,388
965,29,0.0988539,0,130,388
966,12,0.194209,1,69,389
967,12,0.274654,1,73,389
968,968,1.01862,0,390,391
969,333,0.120863,0,136,390
970,333,0.120863,0,137,390
971,13,0.1,0,98,391
972,13,0.1,0,292,391
973,973,0.593776,0,392,393
974,15,0.119022,0,34,392
975,15,0.119022,0,134,392
976,443,0.462754,0,180,393
977,443,0.462754,0,181,393
978,978,0.738274,0,394,395
979,288,0.293236,0,118,394
980,288,0.293236,0,135,394
981,7,0,1,119,395
982,7,0.103108,1,353,395
983,983,0.148951,0,396,397
984,24,0.0150451,0,80,396
985,24,0.0580873,0,131,396
986,318,0.107414,0,131,397
987,318,0.107414,0,364,397
988,988,0.119123,0,398,399
989,288,0.293236,0,119,398
990,288,0.293236,0,135,398
991,978,0.369137,0,394,399
992,978,0.369137,0,395,399
993,993,1.43217,0,400,401
994,128,0.179445,0,54,400
995,128,0.179445,0,138,400
996,668,0.484621,0,270,401
997,668,0.484621,0,271,401
998,998,0.445815,0,402,403
999,24,0.0731325,0,7,402
1000,24,0.0731325,0,136,402
1001,558,0.202996,0,226,403
1002,558,0.741978,0,227,403
1003,1003,0.427964,0,404,405
1004,338,0.161756,0,138,404
1005,338,0.161756,0,139,404
1006,128,0.0897229,0,54,405
1007,128,0.0897225,0,400,405
1008,1008,0.677823,0,406,407
1009,133,0.20763,0,57,406
1010,133,0.966718,0,140,406
1011,343,0.180227,0,140,407
1012,343,0.180227,0,161,407
1013,1013,0.724915,0,408,409
1014,15,0.119021,0,24,408
1015,15,0.119021,0,134,408
1016,7,-nan(ind),1,107,409
1017,7,-nan(ind),1,313,409
1018,1018,0.967464,0,410,411
1019,28,0.098,0,50,410
1020,28,0.098,0,142,410
1021,30,0.0346379,0,22,411
1022,30,0.0346379,0,238,411
1023,1023,1.23023,0,412,413
1024,31,0.0526936,0,61,412
1025,31,0.0526936,0,137,412
1026,12,1.22661,1,14,413
1027,12,0.559723,1,183,413
1028,1028,0.919407,0,414,415
1029,353,1.0933,0,144,414
1030,353,1.0933,0,145,414
1031,11,0.362068,1,10,415
1032,11,0.513656,1,39,415
1033,1033,0.439348,0,416,417
1034,15,0.119021,0,10,416
1035,15,0.119021,0,144,416
1036,7,0.0405777,1,123,417
1037,7,0.0325345,1,219,417
1038,1038,0.492183,0,418,419
1039,348,0.571817,0,142,418
1040,348,0.571817,0,143,418
1041,1,0.8,1,45,419
1042,1,0.8,1,327,419
1043,1043,0.691855,0,420,421
1044,153,0.254614,0,64,420
1045,153,0.254614,0,145,420
1046,11,-nan(ind),1,65,421
1047,11,-nan(ind),1,173,421
1048,1048,0.922419,0,422,423
1049,128,0.179445,0,55,422
1050,128,0.179445,0,138,422
1051,15,0.119021,0,24,423
1052,15,0.119021,0,147,423
1053,1053,0.954154,0,424,425
1054,153,0.254614,0,65,424
1055,153,0.254614,0,145,424
1056,353,0.851943,0,145,425
1057,353,0.241356,0,414,425
1058,1058,1.0883,0,426,427
1059,16,0.0685869,0,48,426
1060,16,0.0685869,0,146,426
1061,13,0.1,0,2,427
1062,13,0.1,0,292,427
1063,1063,0.7501,0,428,429
1064,15,0.119021,0,54,428
1065,15,0.119021,0,147,428
1066,9,0.160204,1,10,429
1067,9,0.256435,1,89,429
1068,1068,0.358282,0,430,431
1069,363,0.157747,0,148,430
1070,363,0.656902,0,149,430
1071,21,0.105042,0,57,431
1072,21,0.210863,0,160,431
1073,1073,1.11282,0,432,433
1074,31,0.0526936,0,7,432
1075,31,0.0526936,0,137,432
1076,12,0,1,183,433
1077,12,0.559723,1,413,433
1078,1078,0.726888,0,434,435
1079,21,0.148065,0,1,434
1080,21,0.148064,0,148,434
1081,158,0.280845,0,67,435
1082,158,0.280845,0,168,435
1083,1083,0.545415,0,436,437
1084,368,0.351077,0,150,436
1085,368,0.351077,0,151,436
1086,1,0.566608,1,12,437
1087,1,0.361624,1,127,437
1088,1088,0.0885417,0,438,439
1089,73,0.106927,0,56,438
1090,73,0.106927,0,150,438
1091,368,0.175538,0,150,439
1092,368,0.175538,0,436,439
1093,1093,1.14959,0,440,441
1094,28,0.0337578,0,5,440
1095,28,0.162242,0,142,440
1096,3,1.18455,1,167,441
1097,3,0.683898,1,247,441
1098,1098,0.116071,0,442,443
1099,73,0.106927,0,33,442
1100,73,0.106927,0,150,442
1101,3,0.445675,1,247,443
1102,3,0.238223,1,441,443
1103,1103,0.971684,0,444,445
1104,16,0.0685868,0,4,444
1105,16,0.0685869,0,146,444
1106,353,0.425972,0,145,445
1107,353,0.425972,0,425,445
1108,1108,0.569591,0,446,447
1109,15,0.119021,0,54,446
1110,15,0.119022,0,144,446
1111,7,3.29848,1,129,447
1112,7,3.29848,1,371,447
1113,1113,0.743308,0,448,449
1114,133,0.293587,0,140,448
1115,133,0.293587,0,151,448
1116,1,1.78885,1,127,449
1117,1,0,1,141,449
1118,1118,0.673235,0,450,451
1119,21,0.148065,0,57,450
1120,21,0.148064,0,148,450
1121,6,0.510921,1,8,451
1122,6,0.655962,1,67,451
1123,1123,0.151223,0,452,453
1124,378,0.243713,0,154,452
1125,378,0.243713,0,155,452
1126,73,0.0534636,0,150,453
1127,73,0.0534635,0,438,453
1128,1128,0.552312,0,454,455
1129,43,0.0650804,0,46,454
1130,43,0.0650805,0,152,454
1131,10,-nan(ind),1,153,455
1132,10,-nan(ind),1,355,455
1133,1133,1.673,0,456,457
1134,133,0.260151,0,56,456
1135,133,0.327023,0,151,456
1136,14,0.0180318,0,1,457
1137,14,0.022976,0,191,457
1138,1138,0.219908,0,458,459
1139,373,0.388371,0,152,458
1140,373,0.274362,0,153,458
1141,10,-nan(ind),1,153,459
1142,10,-nan(ind),1,175,459
1143,1143,1.05287,0,460,461
1144,73,0.106927,0,56,460
1145,73,0.106927,0,154,460
1146,1133,0.836501,0,456,461
1147,1133,0.836501,0,457,461
1148,1148,0.226096,0,462,463
1149,383,0.249769,0,156,462
1150,383,0.249769,0,157,462
1151,1,1.645,1,8,463
1152,1,0,1,51,463
1153,1153,0.823863,0,464,465
1154,118,0.30888,0,50,464
1155,118,0.30888,0,156,464
1156,16,0.0342935,0,146,465
1157,16,0.0342934,0,426,465
1158,1158,0.442415,0,466,467
1159,143,0.266277,0,60,466
1160,143,0.266277,0,158,466
1161,143,0.266277,0,61,467
1162,143,0.266277,0,158,467
1163,1163,1.34934,0,468,469
1164,30,0.0692757,0,22,468
1165,30,0.0692757,0,159,468
1166,3,0.656476,1,167,469
1167,3,0.528069,1,441,469
1168,1168,0.218651,0,470,471
1169,388,0.180308,0,158,470
1170,388,0.180307,0,159,470
1171,30,0.0692758,0,60,471
1172,30,0.0692757,0,159,471
1173,1173,1.35523,0,472,473
1174,73,0.106927,0,32,472
1175,73,0.106927,0,154,472
1176,16,0.0698152,0,118,473
1177,16,0.0698151,0,352,473
1178,1178,0.764999,0,474,475
1179,21,0.482388,0,8,474
1180,21,0.482388,0,160,474
1181,893,0.419555,0,360,475
1182,893,0.237701,0,361,475
1183,1183,0.150915,0,476,477
1184,343,0.180227,0,141,476
1185,343,0.180227,0,161,476
1186,1,-nan(ind),1,291,477
1187,1,-nan(ind),1,339,477
1188,1188,0.113048,0,478,479
1189,118,0.30888,0,51,478
1190,118,0.30888,0,156,478
1191,383,0.124884,0,156,479
1192,383,0.124885,0,462,479
1193,1193,0.488711,0,480,481
1194,138,0.193254,0,58,480
1195,138,0.193254,0,162,480
1196,10,0.13739,1,31,481
1197,10,0.0868929,1,201,481
1198,1198,0,0,482,483
1199,398,0.158534,0,162,482
1200,398,0.158534,0,163,482
1201,138,0.193254,0,59,483
1202,138,0.193254,0,162,483
1203,1203,0.626991,0,484,485
1204,4,0.299336,1,13,484
1205,4,1.49844,1,15,484
1206,583,0.39068,0,236,485
1207,583,0.233927,0,237,485
1208,1,0,0,486,487
1209,8,0.743148,1,9,486
1210,8,1.88835,1,11,486
1211,2,-nan(ind),1,227,487
1212,2,-nan(ind),1,377,487
1213,1213,0.243842,0,488,489
1214,3,1.13659,1,12,488
1215,3,1.33592,1,33,488
1216,408,0.30199,0,166,489
1217,408,0.294118,0,167,489
1218,1218,0.0723937,0,490,491
1219,10,1.38564,1,21,490
1220,10,1.38564,1,47,490
1221,138,0.096627,0,59,491
1222,138,0.0966269,0,483,491
1223,1223,0.344212,0,492,493
1224,10,0.308566,1,11,492
1225,10,0.14611,1,59,492
1226,23,0.308872,0,74,493
1227,23,0.308872,0,192,493
1228,1228,0.318206,0,494,495
1229,10,0.410976,1,37,494
1230,10,0.290604,1,59,494
1231,23,0.154436,0,192,495
1232,23,0.154436,0,493,495
1233,1,0,0,496,497
1234,11,0.280389,1,39,496
1235,11,0.464972,1,65,496
1236,9,0,1,189,497
1237,9,1.78885,1,221,497
1238,1238,0.846484,0,498,499
1239,6,1.87312,1,9,498
1240,6,0,1,67,498
1241,413,0.749905,0,168,499
1242,413,0.749905,0,169,499
1243,1,0,0,500,501
1244,12,0.244862,1,15,500
1245,12,0.197959,1,73,500
