Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
664,353,0.793501,0,145,268
665,353,7.95682,0,231,268
666,568,0.928236,0,231,269
667,568,0.928236,0,251,269
668,668,24.0769,0,270,271
669,26,3.32389,0,39,270
670,26,1.34823,0,263,270
671,27,0.897665,0,45,271
672,27,0.897665,0,193,271
673,673,4.15348,0,272,273
674,21,0.565007,0,43,272
675,21,0.565006,0,83,272
676,503,15.3232,0,204,273
677,503,3.82167,0,205,273
678,678,12.5843,0,274,275
679,23,1.10272,0,165,274
680,23,1.10272,0,204,274
681,18,2.61005,0,2,275
682,18,2.61005,0,86,275
683,683,29.4051,0,276,277
684,26,0.674117,0,263,276
685,26,0.674117,0,270,276
686,32,0.338123,0,40,277
687,32,0.457172,0,201,277
688,688,4.27346,0,278,279
689,328,9.08229,0,134,278
690,328,9.08229,0,135,278
691,23,1.42627,0,21,279
692,23,1.42627,0,55,279
693,693,8.9402,0,280,281
694,63,0.931866,0,37,280
695,63,0.931866,0,110,280
696,108,2.48815,0,47,281
697,108,2.48815,0,111,281
698,698,3.4158,0,282,283
699,123,5.15046,0,52,282
700,123,5.15046,0,53,282
701,14,0.490001,0,75,283
702,14,0.489999,0,241,283
703,703,1.23812,0,284,285
704,1,0,1,64,284
705,1,4.4692,1,158,284
706,153,0.653308,0,65,285
707,153,0.653308,0,89,285
708,708,1.39594,0,286,287
709,9,0,1,76,286
710,9,23.9065,1,228,286
711,98,1.84586,0,42,287
712,98,1.84586,0,77,287
713,713,8.85985,0,288,289
714,78,1.97284,0,35,288
715,78,1.97284,0,141,288
716,20,0.137233,0,3,289
717,20,1.86277,0,128,289
718,718,7.7603,0,290,291
719,398,2.80661,0,186,290
720,398,2.80661,0,189,290
721,318,1.36019,0,163,291
722,318,1.36019,0,187,291
723,723,1.43649,0,292,293
724,178,4.4289,0,74,292
725,178,4.4289,0,75,292
726,118,4.02718,0,50,293
727,118,4.02718,0,51,293
728,728,6.20249,0,294,295
729,11,3.13436,1,14,294
730,11,4.40571,1,38,294
731,15,1.79001,0,29,295
732,15,1.79001,0,153,295
733,733,7.22851,0,296,297
734,9,0,1,32,296
735,9,0.157656,1,136,296
736,20,2,0,1,297
737,20,2,0,25,297
738,738,0.974889,0,298,299
739,243,1.69434,0,101,298
740,243,1.69434,0,256,298
741,633,0.578099,0,256,299
742,633,1.96314,0,257,299
743,743,9.22544,0,300,301
744,573,11.169,0,232,300
745,573,11.169,0,233,300
746,27,0.448832,0,66,301
747,27,0.448833,0,233,301
748,748,26.4095,0,302,303
749,428,7.89537,0,174,302
750,428,7.89536,0,180,302
751,15,2.05001,0,23,303
752,15,0.311669,0,99,303
753,753,11.3731,0,304,305
754,373,12.5955,0,152,304
755,373,12.5955,0,153,304
756,23,0.430441,0,137,305
757,23,0.899616,0,195,305
758,758,14.3501,0,306,307
759,373,6.29777,0,153,306
760,373,6.29777,0,304,306
761,373,1.62095,0,152,307
762,373,10.9746,0,304,307
763,763,6.98685,0,308,309
764,698,1.7079,0,282,308
765,698,1.7079,0,283,308
766,21,0.976723,0,31,309
767,21,0.976723,0,103,309
