index, isfixed(bool), pos.x,pos.y,pos.z
234,1,4,0,-6
235,0,-5.26901,9.0095,-5.38189
236,0,-6.00099,8.89828,-5.36806
237,0,-3.40649,13.1799,8.97412
238,1,-2,12,14
239,0,-11.5529,3.56138,-2.55263
240,1,-12,1,-9
241,0,-9.09753,2.87411,-8.35365
242,0,-8.15656,5.53327,-4.63036
243,0,-6.39601,5.49161,-6.52563
244,0,-3.03657,4.31327,-8.34612
245,0,-4.60501,12.9798,11.5481
246,0,-1.04532,14.7277,5.21808
247,0,-5.17569,4.17859,-8.56654
248,1,-12,1,-9
249,0,8.90751,22.214,-6.49514
250,1,8,23,-4
251,0,-7.36424,7.55034,-5.01833
252,1,-12,1,-9
253,0,0.315045,5.92326,-4.26226
254,1,4,0,-6
255,0,0.306207,6.1389,-3.08867
256,1,4,0,-6
257,0,-4.95526,7.85888,-5.00985
258,0,-7.74251,7.15587,-5.04082
259,0,3.82303,18.0849,-1.46798
260,0,-4.77322,13.0062,11.7134
261,0,-2.9056,11.8771,6.8376
262,0,-2.61145,11.4791,5.51699
263,0,-0.663331,14.7533,4.10158
264,0,-2.54424,12.7671,5.72887
265,0,-5.93031,8.35409,-5.04054
266,0,-6.31441,8.57723,-5.19691
267,0,-0.909422,8.22626,-5.20571
268,1,4,0,-6
269,0,-0.866693,7.58395,-4.63772
270,1,4,0,-6
271,0,-1.16782,9.08905,-5.6353
272,0,4.75778,16.9576,-4.52893
273,0,6.25806,19.9268,-4.42289
274,1,8,23,-4
275,0,0.820813,11.2792,-4.90366
276,0,2.00278,12.5081,-4.32711
277,0,-0.394281,7.69739,-5.06761
278,0,-0.45752,7.30115,-3.04729
279,0,0.426629,8.35748,-4.925
280,1,4,0,-6
281,0,2.08702,3.92018,-5.51185
282,1,4,0,-6
283,0,7.22583,21.4081,-4.16842
284,1,8,23,-4
285,0,-11.0114,2.1234,-6.85798
286,1,-12,1,-9
287,0,4.94042,17.6983,-4.52116
288,0,0.625369,22.4696,-14.4611
289,0,6.25044,19.7021,-4.61689
290,0,3.267,14.9405,-4.50623
291,0,2.74498,2.06649,-5.19913
292,0,0.999974,4.86826,-4.38955
293,0,-2.52304,8.97619,-1.35307
294,0,-1.88175,9.8341,0.955101
295,0,-1.34449,12.1362,1.96251
296,0,-1.70589,9.68522,0.662598
297,0,1.05642,2.50376,-6.62102
298,1,4,0,-6
299,0,-7.37716,5.7895,-5.2531
300,0,-7.91034,5.5786,-4.88717
301,0,-6.92884,5.98267,-5.42423
302,1,-12,1,-9
303,0,7.21886,21.3897,-4.16938
304,1,8,23,-4
305,0,-2.30359,10.4219,2.50496
306,0,1.55773,4.24896,-3.17612
307,0,-0.869721,10.5611,-0.530828
308,0,-1.52519,10.9107,1.31256
309,0,0.635881,11.3936,-2.78298
310,0,-0.475242,7.43695,-2.35838
311,0,7.72657,1.33068,2.21327
312,0,5.84076,2.26446,0.744255
313,0,0.875103,4.94631,-6.25115
314,1,4,0,-6
315,0,1.58388,6.59641,-5.1837
316,0,3.75,0.963737,-5.85356
317,0,6.5855,1.01446,1.51542
318,1,7,0,2
319,0,-1.89321,7.61986,-4.70613
320,1,4,0,-6
321,0,3.1619,2.37833,-5.75012
322,0,3.23605,2.16792,-5.77223
323,0,3.56904,3.02803,-5.82091
324,0,6.0214,18.8683,-4.4202
325,0,-2.60631,12.2496,5.56661
326,1,-2,12,14
327,0,0.842739,7.69639,-5.80125
328,1,4,0,-6
329,0,-0.618167,7.40314,-3.81521
330,0,1.28712,4.43254,-4.41875
331,0,-1.85423,9.62658,-6.23448
332,0,-2.72311,10.6789,-6.75314
333,0,-11.4547,2.38039,-6.41995
334,1,-12,1,-9
335,0,-10.9938,3.76708,-3.57351
336,0,-11.5951,2.62335,-5.21243
337,0,0.240791,6.57655,-4.16506
338,0,-9.98108,4.41251,-4.13702
339,0,-10.7344,3.90406,-3.92395
340,1,-12,1,-9
341,0,2.75716,3.02399,-5.07196
342,1,4,0,-6
343,0,-5.07882,2.63563,-10.5876
344,1,-12,1,-9
345,0,-9.07869,1.23108,-10.4221
346,0,-6.17627,1.83927,-11.1366
347,0,-5.74931,0.749205,-13.3307
348,1,-12,1,-9
349,0,-3.76146,6.56167,-4.82314
350,1,4,0,-6
351,0,6.19004,0.668753,-7.78826
352,1,4,0,-6
353,0,3.23578,3.15107,-6.33764
354,0,0.10436,5.10934,-3.6637
355,0,5.32551,0.690234,-7.19684
356,1,4,0,-6
357,0,4.38547,0.394952,-6.42816
358,0,5.00382,1.14495,-7.04016
359,0,-0.763483,6.97424,-5.9988
360,1,4,0,-6
361,0,4.8479,0.326489,-6.71308
362,0,5.06272,0.252453,-6.84958
363,0,1.50306,3.62765,-6.29441
364,0,-6.86418,20.3271,-14.261
365,0,-4.48621,9.60681,-6.98219
366,1,-12,1,-9
367,0,5.21055,2.22919,-7.74547
368,1,4,0,-6
369,0,4.26063,11.1179,-5.08235
370,0,5.51811,10.4815,-5.11429
371,0,6.18898,0.963141,-7.94633
372,1,4,0,-6
373,0,-3.218,11.0298,-7.64554
374,0,-6.41847,8.49781,-7.96441
375,0,4.98599,2.3881,-7.39971
376,1,4,0,-6
377,0,3.80611,3.59123,-7.16339
378,1,4,0,-6
379,0,5.65629,1.59742,-7.49404
380,0,4.84395,0.657101,-6.98059
381,0,-11.6597,2.88411,-4.17579
382,0,-11.6259,3.04994,-3.81934
383,0,6.75,0.282272,1.76388
384,1,7,0,2
385,0,-2.26081,11.7788,13.1395
386,0,-3.25398,10.8705,10.0144
387,0,4.4617,2.74719,-0.353736
388,0,4.92931,2.79398,-0.0433537
389,0,-2.26081,11.7788,13.1395
390,1,-2,12,14
391,0,-1.9614,8.58137,-7.56773
392,0,-9.5193,21.1493,-15.0069
393,0,-11.8892,3.39723,-2.06626
394,0,-11.9968,3.68505,-0.887084
395,0,-5.3887,8.11503,-8.93215
396,0,-3.1349,10.6575,-8.99302
397,0,-9.27502,4.49365,-9.20851
398,0,-3.96112,13.3987,-10.654
399,0,6.05081,1.07172,1.10351
400,0,-9.31788,3.88347,-4.8653
401,0,-3.88844,9.98026,9.44134
402,1,-2,12,14
403,0,-5.93189,9.41147,-9.78834
