Unique Index, Index, restlegth, isforbidden(bool), source vertex, target vertex
834,5,0.377595,0,113,331
835,5,0.377595,0,25,332
836,5,0.377595,0,113,332
837,837,2.38119,0,333,334
838,307,2.85375,0,121,333
839,307,2.85375,0,122,333
840,17,-nan(ind),1,122,334
841,17,-nan(ind),1,188,334
842,842,1.66963,0,335,336
843,8,0.158005,0,23,335
844,8,0.158005,0,121,335
845,62,0.881427,0,57,336
846,62,0.881426,0,134,336
847,847,8.35878,0,337,338
848,7,1.65981,0,8,337
849,7,1.65981,0,120,337
850,8,0.0790027,0,19,338
851,8,0.0790026,0,177,338
852,852,4.78675,0,339,340
853,8,0.158005,0,30,339
854,8,0.158005,0,121,339
855,17,-nan(ind),1,122,340
856,17,-nan(ind),1,178,340
857,857,2.71887,0,341,342
858,302,0.9836,0,119,341
859,302,3.52259,0,120,341
860,13,0,1,14,342
861,13,5.083,1,112,342
862,862,5.82949,0,343,344
863,2,1.48877,0,44,343
864,2,1.48877,0,123,343
865,16,0,1,124,344
866,16,6.56285,1,298,344
867,867,2.44025,0,345,346
868,312,3.21512,0,123,345
869,312,3.21512,0,124,345
870,2,0.671767,0,123,346
871,2,0.817002,0,343,346
872,872,6.08679,0,347,348
873,2,1.48877,0,1,347
874,2,1.48877,0,123,347
875,19,5.16444,1,1,348
876,19,12.44,1,3,348
877,877,8.18509,0,349,350
878,8,0.63202,0,26,349
879,8,0.63202,0,105,349
880,20,4.75554,1,154,350
881,20,0,1,320,350
882,882,2.32433,0,351,352
883,127,0.372181,0,49,351
884,127,0.346749,0,125,351
885,15,3.46809,1,5,352
886,15,0,1,50,352
887,887,3.64774,0,353,354
888,37,1.27093,0,13,353
889,37,1.27093,0,119,353
890,7,0.829904,0,120,354
891,7,0.829904,0,337,354
892,892,1.53171,0,355,356
893,317,0.660686,0,125,355
894,317,0.660686,0,126,355
895,15,-nan(ind),1,32,356
896,15,-nan(ind),1,50,356
897,897,0.918924,0,357,358
898,82,0.71596,0,32,357
899,82,0.71596,0,126,357
900,82,0.959323,0,31,358
901,82,0.472597,0,126,358
902,902,6.75661,0,359,360
903,4,0.301168,0,8,359
904,4,0.301168,0,127,359
905,21,1.10118,1,4,360
906,21,0.656698,1,52,360
907,907,0.212053,0,361,362
908,127,1.18637,0,50,361
909,127,1.18637,0,125,361
910,882,1.05955,0,351,362
911,882,1.26477,0,352,362
912,912,16.2451,0,363,364
913,322,4.3612,0,127,363
914,322,4.3612,0,128,363
915,4,0.875217,0,77,364
916,4,0.875217,0,205,364
917,917,9.28158,0,365,366
918,67,0.547895,0,29,365
919,67,0.547895,0,129,365
920,22,-nan(ind),1,130,366
921,22,-nan(ind),1,252,366
922,922,2.46335,0,367,368
923,332,1.14223,0,131,367
924,332,1.14223,0,132,367
925,12,3.30209,1,5,368
