Unique Index, Index, restlegth,isvisible(bool), isforbidden(bool), source vertex, target vertex
804,273,0.310839,1,0,112,324
805,273,0.31084,1,0,113,324
806,7,0.00293234,1,1,53,325
807,7,0.00304676,1,1,145,325
808,808,0.594714,1,0,326,327
809,63,0.347245,1,0,28,326
810,63,0.347245,1,0,112,326
811,63,0.347245,1,0,29,327
812,63,0.347245,1,0,112,327
813,813,2.28512,1,0,328,329
814,278,1.35247,1,0,114,328
815,278,1.35247,1,0,115,328
816,26,0.15603,1,0,33,329
817,26,0.156031,1,0,245,329
818,818,2.19005,1,0,330,331
819,73,1.31424,1,0,32,330
820,73,1.31424,1,0,114,330
821,73,1.31424,1,0,33,331
822,73,1.31424,1,0,114,331
823,823,1.51843,1,0,332,333
824,283,0.816117,1,0,116,332
825,283,0.816117,1,0,117,332
826,22,0.0824324,1,0,47,333
827,22,0.0824324,1,0,181,333
828,828,3.3422,1,0,334,335
829,22,0.32973,0,0,5,334
830,22,0.32973,0,0,116,334
831,19,0.164865,1,0,60,335
832,19,0.164865,1,0,160,335
833,833,0.456432,1,0,336,337
834,22,0.32973,1,0,34,336
835,22,0.32973,1,0,116,336
836,22,0.164865,1,0,34,337
837,22,0.164865,1,0,134,337
838,838,0.0916318,1,0,338,339
839,288,0.249472,1,0,118,338
840,288,0.33653,1,0,119,338
841,21,0.166447,1,0,24,339
842,21,0.254802,1,0,119,339
843,843,0.458266,1,0,340,341
844,53,0.0958178,1,0,24,340
845,53,0.0958178,1,0,118,340
846,123,0.0486683,0,0,52,341
847,123,0.0486681,1,0,184,341
848,848,0.258443,1,0,342,343
849,53,0.253736,1,0,52,342
850,53,0.0993063,1,0,118,342
851,123,0.0243341,1,0,52,343
852,123,0.0243342,1,0,341,343
853,853,4.98255,1,0,344,345
854,21,0.210624,1,0,1,344
855,21,0.210624,1,0,119,344
856,148,0.0836775,1,0,62,345
857,148,0.0836775,1,0,194,345
858,858,0.910356,1,0,346,347
859,293,0.420856,0,0,120,346
860,293,0.420856,1,0,121,346
861,108,0.224825,1,0,49,347
862,108,0.224825,1,0,315,347
863,863,0.303869,1,0,348,349
864,108,0.44965,1,0,46,348
865,108,0.44965,1,0,120,348
866,15,0.062721,1,0,46,349
867,15,0.062721,1,0,319,349
868,868,0.313435,1,0,350,351
869,298,0.500549,0,0,122,350
870,298,0.500549,1,0,123,350
871,13,0.0999999,1,0,28,351
872,13,0.1,1,0,136,351
873,873,2.38651,1,0,352,353
874,13,0.2,1,0,0,352
875,13,0.2,1,0,122,352
876,24,0.267947,0,0,55,353
877,24,0.267947,1,0,156,353
878,878,0.483981,0,0,354,355
879,13,0.1,1,0,2,354
880,13,0.1,1,0,123,354
881,128,0.5892,1,0,54,355
882,128,0.5892,1,0,148,355
883,883,0.230071,1,0,356,357
884,13,0.0999999,1,0,54,356
885,13,0.1,1,0,123,356
886,13,0.1,1,0,54,357
887,13,0.1,1,0,136,357
888,888,1.83085,1,0,358,359
889,303,0.899764,1,0,124,358
890,303,0.899764,1,0,125,358
891,24,0.133973,1,0,55,359
892,24,0.133973,1,0,353,359
893,893,0.778255,1,0,360,361
894,78,0.498569,1,0,34,360
895,78,0.498569,1,0,124,360
896,78,0.498569,1,0,35,361
897,78,0.498569,1,0,124,361
898,898,2.1722,1,0,362,363
899,31,0.2,1,0,5,362
900,31,0.2,1,0,125,362
901,31,0.31202,1,0,82,363
902,31,0.31202,1,0,250,363
903,903,0.0464887,1,0,364,365
904,308,0.0509973,1,0,126,364
905,308,0.0509973,1,0,127,364
906,7,0,1,1,25,365
