index, isfixed(bool), pos.x,pos.y,pos.z
258,0,0.201891,-1.5269,1.02624
259,0,-1.22816,-1.39519,0.186877
260,0,-1.02933,-1.59588,0.928604
261,0,-0.836322,-1.22565,0.784434
262,0,1.54684,1.9054,2.83658
263,0,1.54684,1.9054,2.83658
264,0,1.68947,1.90817,2.51653
265,0,1.57041,1.9056,2.75473
266,0,1.98487,-1.51935,-2.22918
267,0,2.06909,-1.05996,-2.04796
268,0,3.20734,-1.87794,-2.80944
269,0,2.77994,-1.5259,-2.5169
270,0,-1.77024,1.22681,0.410283
271,0,-1.72716,1.25514,0.50252
272,0,-1.99426,1.24721,0.194594
273,0,-1.83969,1.24098,0.345517
274,0,-1.86766,1.28304,0.370861
275,0,-2.30219,1.45906,0.246342
276,0,-1.52647,1.14513,0.610771
277,0,-2.29467,1.67672,-2.13297
278,0,-0.61157,-0.11486,2.48722
279,0,0.432607,-2.7463,1.04324
280,0,-1.1557,0.679828,2.07535
281,0,-2.00435,2.10813,2.4843
282,0,-1.10775,1.14176,0.139521
283,0,-1.50038,1.1125,0.513027
284,0,-0.444969,1.16562,-0.681218
285,0,-0.877987,1.1476,0.0318473
286,0,-0.808254,0.65295,0.27278
287,0,-0.432142,0.595444,-0.282124
288,0,-1.05006,-1.73576,1.61022
289,0,-0.275888,-1.4705,0.786073
290,0,-1.81634,-2.4143,1.56198
291,0,-1.53178,-2.68303,1.81067
292,0,0.417501,-0.391553,1.45806
293,0,0.475439,-0.666506,1.39612
294,0,-2.21762,1.33514,0.145155
295,0,-1.95006,1.24868,0.237709
296,0,-2.52162,1.49794,0.182883
297,0,-2.46672,1.51786,0.251103
298,0,-2.03894,1.39219,0.386835
299,0,-1.68376,1.22589,0.505518
300,0,1.78456,0.0764883,-1.27781
301,0,1.56964,1.19799,-0.904201
302,0,1.80837,-0.956876,-1.61397
303,0,1.17155,-1.27064,-1.67618
304,0,1.70203,1.12472,-0.370297
305,0,1.6039,1.13829,-0.822382
306,0,0.196551,-1.10753,0.844016
307,0,0.481272,-1.42016,1.10742
308,0,0.130905,-0.520951,1.0072
309,0,-0.724735,-1.09848,0.250207
310,0,-3.24714,-1.06958,-0.960451
311,1,-3.5,-1.095,-1
312,0,-2.78668,-0.900494,-0.788556
313,0,-3.24635,-1.06947,-0.960303
314,0,1.86925,1.57553,2.20801
315,0,1.71494,1.05438,2.01544
316,0,1.61498,1.31322,1.87211
317,0,1.69723,0.887915,1.83584
318,0,1.89348,1.96839,2.42143
319,0,2.07088,2.14819,2.55335
320,0,-3.34074,2.74517,-2.90137
321,0,-2.35542,1.49369,0.282989
322,0,-2.81443,2.2201,-2.5601
